Review,Date,Stars
"please quit turning off my biometrics, then telling me it's quicker to turn on biometrics",2025-05-01,1
"Update: Garbage. Signs you out as soon as you sign in. Want to deposit a check? Take the picture and it signs you out again. Many services are shown as ""unavailable."" It appears to be a widespread problem.",2025-05-01,1
Slow and crashes a lot. 0 grade. F Grade. Do Not Download!,2025-05-01,1
"I have 3 banking apps and this is by far the glitchiest. I've used PNC Mobile for years; it is constantly being updated but it never gets any less glitchy. It logs you out constantly, you have to restart things like depositing a check over and over because of glitches. Even getting your routing and account numbers is inconvenient. Not that you have a choice if you bank with PNC, but I would never recommend this app.",2025-05-01,1
"For 3 months now I haven't been able to use biometric login or mobile deposit. This app crashes the moment I try to login, completely useless. I plan on switching banks due to the lack of followup. I have updated this review 3 times now and nothing is fixed.",2025-04-30,1
Hey PNC. Did you hit your head when making this app. absolutely trash. stop logging me out. stop making re type my password . that's what biometric is for. Stop making me enter an email when I have an account. Do better.,2025-04-30,1
garbage app is broken. this app is constantly logging me out after I've changed screens on my Android phone for less than 3 seconds and that used to not be the case. I'm constantly having to find my credentials and poke that back in and re-enable biometric access when for years. that's the only way I've been accessing. this phone is with my fingerprint so what's going on?,2025-04-30,1
App keeps logging me out and asking for credentials again. What's the point of biometrics for logging in if the app keeps forcing you to enter credentials. It's been like this for a while now,2025-04-30,1
Constantly being logged out and having to re-enroll.,2025-04-30,1
tired up updates..now I don't have space on my phone to update,2025-04-30,1
disappointed with PNC and US banking system :(,2025-04-30,1
never let me sign in. I'll login and it immediately signs me out.,2025-04-30,1
"It always makes me sign in at least twice at launch and crashes randomly. After finally getting into my account, it kept telling me ""action unavailable"" for anything I tried to do. It also randomly kicked me back out to the login screen while trying to use bill pay. I'm just trying to do basic banking but apparently that's too much to ask from this app.",2025-04-30,1
"app crashes or is ""unavailabe"" often. Zellweger works about 10% of the time.",2025-04-30,1
"Zero stars is more likely for this terrible app. It's day #3 of me trying to just check my balance and this ""glorious"" app will not work. This must be the worst banking app in the world.",2025-04-29,1
annoying that I have to remember to completely sign out every time or else I can't sign back in.,2025-04-29,1
"why does it stop working every so often, it just won't load or show an error message when you log in, I tried checking for updates and clearing cache and nothing fixes it ...",2025-04-29,1
will not load,2025-04-29,1
horrible & terrible app to navigate & use.,2025-04-29,1
"Impossible to use effectively, kicks you out and turns off biometrics about every 3rd use requiring you to go find your password (which cannot be copy / paste from a password manager except every 25th time). No app you use will make you more frustrated.",2025-04-28,1
glitchy at best,2025-04-28,1
I have to sign in twice manually. Then I have to reactivate the biometrics every single time. What is the purpose of having it if it is not going to work.,2025-04-28,1
I have to login twice everytime. It's starts to login and then says PNC server unavailable then I login immediately after and it works,2025-04-28,1
"I haven't been able to mobile deposit for almost 2 month , I have to go in person to the bank . please fix it",2025-04-28,1
"App crashes after taking pics for deposit. Often ""unable to get account information"". We're going back to our outstation Credit Union.",2025-04-28,1
For years it was a great app. What happened recently? Constant loops when trying to sign in. Can pay one bill and freezes when doing another. Constantly being signed out and then having to reenter everything to get back in and turn back on fingerprint authorization. It's so annoying it makes the app unusable. looks like other having similar issues.,2025-04-28,1
