Review,Date,Stars
capital one makes the app a way to messed up customers credit they took the option to pay with debit card so you obligated to pay with checking account while your money takes longer to post sometimes 10 days it for sure damaging your credit capital one abuses customers.,2025-05-06,1
hard to get to bill pay...don't understand most of it,2025-05-06,1
why do you need my social?,2025-05-06,1
"I can't log into my account at all. nothing has changed, I uninstalled and reinstalled, I did password recovery, it will find my account info and not let me log in.",2025-05-06,1
Tonight the app wouldn't let me log in with my fingerprint or password. Of course Customer Service is also closed,2025-05-06,1
"App keeps crashing. I tried closing it out, restarted phone, and tried both password and fingerprint... what is going on. Everything was fine about 3 hrs prior. Please fix this mess.",2025-05-06,1
"app lists account I had 23 years ago. my current account is not listed and there's no search option or any way to add new account (6 months old) ....so I cant pay online, I have to call every month to make payments OR write a check & send it via snail mail??? c'mon!😏🤨",2025-05-06,1
I cannot log in to my account to make my payment. it keeps saying unauthorized. I tried resetting my password and it just goes back to the original screen.,2025-05-06,1
doesn't work,2025-05-06,1
What's up with the App? havent been able to log in for three - four days.,2025-05-06,1
can't access virtual card at all,2025-05-06,1
"I can't use features or anything in that tab, like replace/report card stole. it says ""we hit a snag, try again later"" Already reinstalled the app twice",2025-05-05,1
had nothing but problem with site about setting up the card and set appropriate ID and selfie and still having problem,2025-05-05,1
not compatible with my device,2025-05-05,1
"bill pay is still an issue when pay from cc account using bank account. not posting, reversals. Also an issue with sending using bill pay from bank acct to cc. Slow. Also, transactions still post to cc account despite toggle switch turned off for using card.",2025-05-05,1
"It's an online bank that REQUIRES you to use their app for basic functions that should be available through the web. If you have an old phone, you will NOT be able to use the app depending on how old your device operating system is. I was required to get a new phone to be able to use the app, and the web version still limits what you can do. Again, this is an online bank. Already has been reported multiple times with no solution in site.",2025-05-05,1
horrible,2025-05-05,1
I don't need it.,2025-05-05,1
it sucks big time,2025-05-05,1
you didnt post my payment now my credit score dropped 90 points,2025-05-05,1
doesn't have great features. no way to breakdown spending by categories or look at spending over periods of time.,2025-05-05,1
"app isn't working. uninstalled and re-installed still won't let me log in. website works fine. app, not at all",2025-05-05,1
keeps asking to update app and I can't,2025-05-04,1
"for some reason it hasnt been letting me log on for like a week or so, give or take, and I can't pay my bill or check out activity.. I wouldn't appreciate a late payment because of it.. I need to be able to get in, it's been a while",2025-05-04,1
"Recently, both before and after running the most recent app update, I get bumped to the initial login screen when I've retrieved my six digit security code. I have to log in via the Capital One website, rendering the app useless. It's infuriating...",2025-05-04,1
too slow,2025-05-04,1
sucks,2025-05-04,1
it sucks,2025-05-04,1
awful amd rude,2025-05-03,1
too awful,2025-05-03,1
can't get in to my account. Even with my finger print. need to make a payment.,2025-05-03,1
"I *used* to like it- until I added a fingerprint to my android, and now the app crashes during login. tried updating, tried uninstalling, same issue. I can still login via the web, but this is VERY annoying, guys. Fix it.",2025-05-03,1
always return my payment,2025-05-03,1
